DIRECTORIO,REGION,DPTO_CAUCA,P3,P4090,P4000,P4031S1,P4031S1A1,P4031S2,P4031S3,P4031S4,P4031S4A1,P4031S5,P70,FEX_P
112482,4,,2,1,1,1,1,2,1,1,2,1,1,87.400293787
112483,4,,2,1,2,1,4,2,2,1,2,1,1,74.362699065
112484,4,,2,1,1,1,1,2,2,1,2,1,1,84.831209775
112485,4,,2,1,1,1,1,1,1,1,2,1,1,226.62621588
112486,4,,2,1,1,1,1,1,1,1,2,1,1,169.47569627
112487,4,,2,1,1,1,1,1,1,1,2,1,1,255.960804
112488,4,,2,1,1,1,2,1,1,1,2,1,1,287.4840652
112489,4,,2,1,1,1,1,1,1,1,2,1,1,188.1972515
112490,4,,2,1,1,1,1,1,1,1,2,1,1,190.87022199
112491,4,,2,1,1,1,2,1,1,1,2,1,1,359.11161673
112492,4,,2,1,1,1,1,1,1,1,2,1,1,220.84577685
112493,4,,2,1,1,1,3,1,1,1,2,1,1,226.62621588
112494,4,,2,1,1,1,2,1,1,1,2,1,1,226.62621588
112495,2,,1,1,1,1,1,1,1,1,3,1,1,407.13479249
112496,2,,1,1,2,1,1,1,1,1,3,1,1,407.12899914
112497,2,,1,1,1,1,1,1,1,1,3,1,1,778.94346118
112498,2,,1,1,1,1,1,1,1,1,3,1,1,684.71921106
112499,2,,1,1,1,1,1,1,1,1,3,1,1,395.54811504
112500,2,,1,1,2,1,1,1,1,1,3,1,1,672.15772082
112501,2,,1,1,2,1,1,1,1,1,3,1,1,722.09416315
112502,2,,1,1,2,1,1,1,1,1,3,1,1,469.84453834
112503,2,,1,1,2,1,1,1,1,1,3,1,1,453.70646155
112505,2,,1,1,1,1,2,1,1,1,3,1,1,1603.4207507
112506,2,,1,1,1,1,2,1,1,1,3,1,1,1734.2724233
112507,2,,1,1,1,1,2,1,1,1,3,1,1,1710.389227
112508,5,,1,1,1,1,1,2,2,1,2,2,1,384.64103474
112509,5,,1,1,1,1,1,2,2,2,,1,1,226.40875822
112510,5,,1,1,1,1,1,2,2,1,7,1,1,255.85107629
112511,5,,1,1,1,1,1,2,2,1,7,1,1,337.85323385
112512,5,,1,1,1,1,1,2,2,1,7,1,1,504.88093139
112513,5,,1,1,1,1,1,2,2,1,7,1,1,155.40601647
112514,5,,1,1,1,1,1,2,2,1,7,1,1,291.26086595
112515,5,,1,1,1,1,1,2,2,1,7,1,1,443.56042449
112516,5,,1,1,1,1,1,2,2,1,7,1,1,302.13929152
112517,5,,1,1,1,1,1,2,2,1,3,2,1,337.42530829
112518,5,,1,1,1,1,1,2,2,1,3,1,1,268.65960015
112519,5,,1,1,1,1,1,2,2,1,3,1,1,420.48293532
112520,2,,1,1,2,1,1,1,1,1,3,1,1,400.45966926
112521,2,,1,1,1,1,2,1,1,1,3,1,1,1038.3971154
112522,2,,1,1,1,1,2,1,1,1,3,1,1,616.00091694
112523,2,,1,1,2,1,1,1,1,1,3,1,1,611.87973661
112524,2,,1,1,2,1,1,1,1,1,3,1,1,495.07376694
112525,2,,1,1,2,1,1,1,1,1,3,1,1,563.04283704
112526,2,,1,1,2,1,1,1,1,1,3,1,1,458.82019066
112527,2,,1,1,2,1,1,1,1,1,3,1,1,636.29788424
112528,2,,1,1,2,1,1,1,1,1,3,1,1,477.95236119
112529,2,,1,1,2,1,1,1,1,1,3,1,1,495.07376694
112530,2,,1,1,2,1,1,1,1,1,3,1,1,587.46098467
112531,2,,1,1,2,1,1,1,1,1,3,1,1,531.32734323
112532,2,,1,1,2,1,1,1,2,1,3,1,1,508.99216175
112533,2,,1,1,2,1,1,1,1,1,3,1,1,300.55005145
112534,2,,1,1,1,1,3,1,1,1,3,1,1,804.06672395
112535,2,,1,1,2,1,2,1,1,1,3,1,1,643.59589703
112536,2,,1,1,2,1,3,1,1,1,3,1,1,619.30817833
112537,2,,1,1,1,1,1,1,1,1,3,1,1,638.82459765
112538,2,,1,1,2,1,3,1,1,1,3,1,1,542.2420435
112539,2,,1,1,2,1,0,2,2,1,3,1,1,402.24598443
112540,2,,1,1,2,1,2,1,1,1,3,1,1,708.81945944
112541,2,,1,1,2,1,2,1,1,1,3,1,1,682.21125919
112542,2,,1,1,2,1,2,1,1,1,3,1,1,775.89860891
112543,2,,1,1,1,1,1,1,1,1,3,1,1,552.54308421
112544,2,,1,1,2,1,1,1,1,1,3,1,1,594.75833085
112545,2,,1,1,2,1,3,1,1,1,3,1,1,715.69122968
112546,2,,1,1,1,1,1,1,1,1,3,1,1,531.32734323
112547,2,,1,1,1,1,1,1,1,1,3,1,1,594.0826376
112548,2,,1,1,1,1,3,1,1,1,3,1,1,718.40400848
112549,2,,1,1,1,1,3,1,1,1,3,1,1,576.92119917
112550,2,,1,1,2,1,1,1,1,1,3,1,1,629.00053807
112551,2,,1,1,2,1,3,1,1,1,3,1,1,750.0496014
112552,2,,1,1,1,1,3,1,1,1,3,1,1,814.10951946
112553,2,,1,1,2,1,1,1,1,1,3,1,1,1115.0464084
112554,2,,1,1,2,1,1,1,1,1,3,1,1,1053.1464939
112555,2,,1,1,2,1,1,1,1,1,3,1,1,998.12139294
112556,2,,1,1,2,1,1,1,1,1,3,1,1,787.49172734
112557,2,,1,1,2,1,2,1,1,1,3,1,2,541.59056444
112558,2,,1,1,1,1,1,1,1,1,3,1,1,916.57087493
112559,2,,1,1,2,1,1,1,1,1,3,1,1,813.36306526
112560,2,,1,1,2,1,1,1,1,1,3,1,1,1011.9644496
112561,2,,1,1,2,1,2,1,1,1,3,1,1,737.85105815
112562,2,,1,1,2,1,1,1,1,1,3,1,2,830.7784436
112563,2,,1,1,2,1,2,1,1,1,3,1,1,690.7255462
112564,2,,1,1,3,1,2,1,1,1,3,1,2,811.06022516
112565,2,,1,1,3,1,2,1,1,1,3,1,1,948.6656462
112566,2,,1,1,2,1,2,1,1,1,3,1,2,1009.3869081
